scientificName,taxon_group,vernacularName,stateConservation,countryConservation,n_records,year_min,year_max,is_threatened,is_sensitive
Agaricus spp.,Fungi,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Amyema spp.,Flora,Mistletoe,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Anepischetosia maccoyi,Reptilia,Highlands Forest-skink,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Antechinus stuartii,Mammalia,Brown Antechinus,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Anthochaera chrysoptera,Aves,Little Wattlebird,Not Listed,Not Listed,1,2025.0,2025.0,False,False
Antrodiella zonata,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Arrhenatherum elatius var. bulbosum,Flora,Bulbous Oatgrass,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Arthropteris beckleri,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Asplenium attenuatum,Flora,Simple Spleenwort,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Auricularia cornea,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Austrelaps superbus,Reptilia,Lowland Copperhead,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Austrorhytida capillacea,Gastropoda,,Not Listed,Not Listed,1,2024.0,2024.0,False,False
Austrostipa pubescens,Flora,,Not Listed,Not Listed,1,1943.0,1943.0,False,False
Blechnum gregsonii,Flora,,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Blechnum nudum,Flora,Fishbone Water Fern,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Blechnum spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Brassica rapa subsp. campestris,Flora,Turnip,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Burnettia cuneata,Flora,Lizard Orchid,Not Listed,Not Listed,1,1956.0,1956.0,False,False
Cacatua sp.,Aves,,Not Listed,Not Listed,1,2022.0,2022.0,False,False
Cacatua tenuirostris,Aves,Long-billed Corella,Not Listed,Not Listed,1,2023.0,2023.0,False,False
Calocera spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Canis familiaris,Mammalia,Dog,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Capsella bursa-pastoris,Flora,Shepherd's Purse,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Carex leporina,Flora,,Not Listed,Not Listed,1,1996.0,1996.0,False,False
Cassinia longifolia,Flora,,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Cassinia trinerva,Flora,,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Cassytha pubescens,Flora,Downy Dodder-laurel,Not Listed,Not Listed,1,1971.0,1971.0,False,False
Celastrus subspicata,Flora,Large-leaved Staff Vine,Not Listed,Not Listed,1,2007.0,2007.0,False,False
Cenchrus clandestinus,Flora,Kikuyu Grass,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Centella asiatica,Flora,Indian Pennywort,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Cirsium vulgare,Flora,Spear Thistle,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Cissus hypoglauca,Flora,Giant Water Vine,Not Listed,Not Listed,1,2007.0,2007.0,False,False
Clitocybe spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Collybia spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Convolvulus erubescens,Flora,Pink Bindweed,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Conyza bonariensis,Flora,Flaxleaf Fleabane,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Cordyceps cranstounii,Sordariomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Cordyceps gunnii,Sordariomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
